summonerId,highestAchievedSeasonTier,avg kills,avg deaths,avg assists,avg performance
48674036,PLATINUM,2.0,8.0,2.0,-0.3333333333333333
68799250,SILVER,6.0,6.0,8.0,0.4
23180124,GOLD,11.0,2.0,5.0,0.7777777777777778
37164934,BRONZE,7.0,0.0,7.0,1.0
56450492,SILVER,6.0,5.0,6.0,0.4117647058823529
48949682,GOLD,4.0,9.0,5.0,0.0
44076585,GOLD,1.0,7.0,2.0,-0.4
69123410,UNRANKED,4.0,9.0,4.0,-0.058823529411764705
22085667,SILVER,2.0,5.0,0.0,-0.42857142857142855
35019930,SILVER,2.0,3.0,1.0,0.0
24127983,SILVER,0.0,6.0,1.0,-0.7142857142857143
37902563,SILVER,5.0,0.0,3.0,1.0
59242708,SILVER,10.0,2.0,2.0,0.7142857142857143
20501670,GOLD,4.0,3.0,3.0,0.4
48459931,GOLD,8.0,1.0,4.0,0.8461538461538461
30480524,BRONZE,6.0,2.0,8.0,0.75
21633477,SILVER,12.0,3.0,1.0,0.625
34873514,SILVER,8.0,7.0,4.0,0.2631578947368421
67073792,SILVER,2.0,6.0,6.0,0.14285714285714285
21042984,DIAMOND,2.0,6.0,4.0,0.0
25439325,DIAMOND,0.0,1.0,4.0,0.6
32191484,DIAMOND,8.0,2.0,4.0,0.7142857142857143
19773911,DIAMOND,4.0,3.0,7.0,0.5714285714285714
45316242,DIAMOND,0.0,4.0,17.0,0.6190476190476191
24385117,DIAMOND,14.0,6.0,8.0,0.5714285714285714
28839599,DIAMOND,3.0,1.0,11.0,0.8666666666666667
24987630,DIAMOND,4.0,4.0,2.0,0.2
25366938,DIAMOND,2.0,9.0,4.0,-0.2
46169098,DIAMOND,5.0,8.0,3.0,0.0
29282558,DIAMOND,6.0,7.0,4.0,0.17647058823529413
50885288,BRONZE,5.0,7.0,3.0,0.06666666666666667
48641826,SILVER,3.0,6.0,5.0,0.14285714285714285
53420757,SILVER,5.0,4.0,5.0,0.42857142857142855
64539679,GOLD,4.0,2.0,5.0,0.6363636363636364
24518877,GOLD,3.0,3.0,13.0,0.6842105263157895
413190,GOLD,10.0,1.0,0.0,0.8181818181818182
37071211,SILVER,3.0,3.0,6.0,0.5
20325534,SILVER,5.0,5.0,2.0,0.16666666666666666
23325179,SILVER,0.0,5.0,3.0,-0.25
48334804,SILVER,0.0,6.0,6.0,0.0
57321747,SILVER,4.0,7.0,3.0,0.0
25872471,SILVER,5.0,5.0,2.0,0.16666666666666666
46179116,SILVER,6.0,4.0,15.0,0.68
50113635,BRONZE,8.0,2.0,4.0,0.7142857142857143
63460651,SILVER,1.0,8.0,4.0,-0.23076923076923078
63461853,UNRANKED,4.0,9.0,4.0,-0.058823529411764705
51052266,SILVER,3.0,7.0,4.0,0.0
32719738,SILVER,1.0,8.0,5.0,-0.14285714285714285
20057083,SILVER,10.0,1.0,12.0,0.9130434782608695
31257494,UNRANKED,5.0,6.0,4.0,0.2
21239229,GOLD,5.0,4.0,13.0,0.6363636363636364
32235925,SILVER,9.0,2.0,12.0,0.8260869565217391
43869904,SILVER,1.0,4.0,8.0,0.38461538461538464
31451318,SILVER,5.0,1.0,2.0,0.75
30923831,SILVER,6.0,6.0,1.0,0.07692307692307693
61363645,SILVER,2.0,8.0,1.0,-0.45454545454545453
66610325,SILVER,4.0,5.0,2.0,0.09090909090909091
44519643,SILVER,6.0,3.0,6.0,0.6
35673578,SILVER,7.0,3.0,5.0,0.6
55796144,SILVER,6.0,2.0,7.0,0.7333333333333333
57448302,SILVER,3.0,14.0,4.0,-0.3333333333333333
50874574,SILVER,5.0,7.0,4.0,0.125
24688105,GOLD,2.0,11.0,4.0,-0.29411764705882354
43404619,SILVER,11.0,4.0,9.0,0.6666666666666666
66273278,SILVER,9.0,3.0,1.0,0.5384615384615384
34577046,GOLD,9.0,2.0,13.0,0.8333333333333334
21978015,UNRANKED,3.0,2.0,3.0,0.5
45381153,SILVER,1.0,5.0,6.0,0.16666666666666666
49303324,SILVER,10.0,5.0,4.0,0.47368421052631576
35403630,UNRANKED,10.0,2.0,4.0,0.75
30851061,PLATINUM,2.0,5.0,6.0,0.23076923076923078
40271902,PLATINUM,0.0,2.0,17.0,0.7894736842105263
25932169,DIAMOND,10.0,6.0,7.0,0.4782608695652174
35759327,PLATINUM,1.0,4.0,2.0,-0.14285714285714285
64806163,DIAMOND,2.0,4.0,1.0,-0.14285714285714285
38917675,UNRANKED,5.0,4.0,4.0,0.38461538461538464
29809774,DIAMOND,4.0,6.0,3.0,0.07692307692307693
59770318,SILVER,2.0,4.0,17.0,0.6521739130434783
22366913,SILVER,15.0,1.0,4.0,0.9
51733708,SILVER,10.0,3.0,11.0,0.75
65092204,SILVER,2.0,7.0,2.0,-0.2727272727272727
58404087,BRONZE,3.0,8.0,1.0,-0.3333333333333333
19305991,UNRANKED,2.0,7.0,1.0,-0.4
51452118,BRONZE,13.0,3.0,3.0,0.6842105263157895
47111311,SILVER,6.0,4.0,8.0,0.5555555555555556
38335986,SILVER,2.0,2.0,7.0,0.6363636363636364
45434019,SILVER,5.0,9.0,2.0,-0.125
68963497,SILVER,2.0,8.0,1.0,-0.45454545454545453
39996182,SILVER,5.0,1.0,4.0,0.8
38933638,BRONZE,2.0,6.0,6.0,0.14285714285714285
45484339,SILVER,4.0,6.0,2.0,0.0
59011739,SILVER,0.0,3.0,15.0,0.6666666666666666
38797196,SILVER,1.0,4.0,9.0,0.42857142857142855
71041241,UNRANKED,4.0,4.0,3.0,0.2727272727272727
22745795,BRONZE,1.0,8.0,5.0,-0.14285714285714285
48503518,SILVER,6.0,9.0,5.0,0.1
30086530,SILVER,7.0,6.0,10.0,0.4782608695652174
59383504,SILVER,7.0,1.0,11.0,0.8947368421052632
56752068,SILVER,4.0,2.0,12.0,0.7777777777777778
30251526,BRONZE,15.0,7.0,9.0,0.5483870967741935
60191064,SILVER,8.0,10.0,3.0,0.047619047619047616
31094748,SILVER,4.0,8.0,2.0,-0.14285714285714285
36950466,SILVER,2.0,2.0,16.0,0.8
25013814,SILVER,14.0,6.0,10.0,0.6
41170065,GOLD,5.0,7.0,3.0,0.06666666666666667
28669579,SILVER,0.0,6.0,7.0,0.07692307692307693
40856158,GOLD,11.0,5.0,7.0,0.5652173913043478
